Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXB.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CHDRAUIB.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GENTERA.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,KOFUBL.MX,LABB.MX,LACOMERUBC.MX,LIVEPOLC-1.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,RA.MX,TLEVISACPO.MX,VESTA.MX,WALMEX.MX
2025-05-27,208.16664123535156,14.863439559936523,48.041141510009766,16.387889862060547,600.7945556640625,48.58284378051758,55.470001220703125,42.91999816894531,13.792366027832031,140.5,23.899999618530273,368.05999755859375,197.8911590576172,423.20245361328125,130.84034729003906,186.8000030517578,37.327369689941406,51.41999816894531,175.39999389648438,104.92486572265625,363.26409912109375,33.20219421386719,180.30235290527344,21.873706817626953,42.040000915527344,94.69591522216797,48.70000076293945,231.99000549316406,13.350000381469727,387.2200012207031,217.9636993408203,213.27574157714844,155.22999572753906,7.46910285949707,56.332374572753906,64.66276550292969
2025-05-28,210.1216278076172,15.103333473205566,48.199562072753906,16.358728408813477,607.0112915039062,49.35506057739258,55.09000015258789,43.849998474121094,13.692926406860352,142.25999450683594,23.43000030517578,368.8399963378906,198.44754028320312,433.826416015625,129.2489776611328,184.00999450683594,37.84798812866211,51.150001525878906,176.39999389648438,106.14226531982422,364.73089599609375,33.25080108642578,182.56893920898438,21.373680114746094,41.77000045776367,93.96581268310547,51.150001525878906,234.5,13.649999618530273,390.010009765625,219.39671325683594,208.54859924316406,155.97000122070312,7.450000286102295,56.71205139160156,64.81072998046875
2025-05-29,208.29371643066406,15.353222846984863,48.7540397644043,16.22264862060547,599.155029296875,48.544708251953125,55.16999816894531,42.630001068115234,13.503988265991211,141.66000366210938,23.309999465942383,363.0,198.7928924560547,435.2894592285156,131.18846130371094,181.49000549316406,37.47471618652344,51.11000061035156,175.97999572753906,108.1712875366211,362.3721008300781,33.2119140625,181.72874450683594,21.824684143066406,41.959999084472656,92.93972778320312,51.59000015258789,234.99000549316406,13.1899995803833,396.3900146484375,216.78765869140625,207.85800170898438,152.64999389648438,7.450000286102295,56.30239486694336,64.91924285888672
2025-05-30,208.69448852539062,15.11332893371582,48.15005874633789,15.892168998718262,607.489501953125,47.991764068603516,54.25,42.40999984741211,13.225556373596191,142.0,23.34000015258789,370.0,197.6609344482422,437.5968933105469,122.6646957397461,181.0,37.38631057739258,48.900001525878906,172.02000427246094,106.0828857421875,361.69818115234375,33.63969802856445,179.15927124023438,21.98155403137207,42.0,92.93972778320312,51.150001525878906,239.6699981689453,13.130000114440918,409.489990234375,215.937744140625,202.32354736328125,150.8300018310547,7.5,56.04261779785156,62.49253845214844
2025-06-02,208.21551513671875,15.17330265045166,49.49663543701172,15.892168998718262,610.7198486328125,48.37310791015625,52.400001525878906,42.279998779296875,13.046564102172852,140.27000427246094,23.639999389648438,369.5,196.19322204589844,437.606689453125,122.0579833984375,177.33999633789062,37.86763381958008,49.25,172.0,103.97469329833984,348.4869384765625,33.581363677978516,183.1551513671875,22.187448501586914,40.9900016784668,92.54508209228516,51.41999816894531,237.30999755859375,13.140000343322754,421.010009765625,217.420166015625,199.39584350585938,153.61000061035156,7.659999847412109,55.862770080566406,63.469139099121094
2025-06-03,205.04844665527344,15.193293571472168,49.84318161010742,15.901888847351074,607.0601196289062,47.72482681274414,52.84000015258789,42.150001525878906,13.00678825378418,145.8000030517578,23.3799991607666,373.0,194.7447052001953,432.2259826660156,123.93778991699219,181.8800048828125,37.916748046875,49.400001525878906,172.80999755859375,104.42997741699219,349.5573425292969,32.83273696899414,182.95974731445312,21.50113868713379,40.88999938964844,92.75227355957031,50.93000030517578,239.02999877929688,13.010000228881836,421.989990234375,217.6424560546875,203.62692260742188,157.0,7.679999828338623,55.4531135559082,63.192928314208984
2025-06-04,201.6663055419922,15.093338012695312,50.13031768798828,15.620010375976562,601.7022094726562,46.67613983154297,52.0,41.939998626708984,12.947124481201172,144.55999755859375,23.25,375.0,192.8261260986328,436.93902587890625,126.96138763427734,184.1699981689453,37.94622039794922,49.369998931884766,171.1999969482422,105.03373718261719,333.9179382324219,33.26052474975586,180.64430236816406,21.403093338012695,40.349998474121094,93.67969512939453,52.150001525878906,243.9199981689453,13.050000190734863,422.8900146484375,214.8683624267578,203.00442504882812,155.88999938964844,7.730000019073486,55.22330856323242,63.518463134765625
2025-06-05,200.92343139648438,15.043359756469727,50.39765548706055,15.474209785461426,605.5962524414062,44.97917175292969,52.209999084472656,42.150001525878906,12.986900329589844,145.3000030517578,23.389999389648438,375.0,193.9293212890625,441.84844970703125,124.84288024902344,183.27999877929688,38.7713508605957,49.61000061035156,171.55999755859375,107.30030059814453,332.005126953125,32.959129333496094,180.61497497558594,21.608985900878906,40.529998779296875,94.4196548461914,52.650001525878906,246.30999755859375,13.229999542236328,467.0,218.1793670654297,196.84747314453125,156.52000427246094,7.710000038146973,54.723731994628906,64.39641571044922
2025-06-06,201.97752380371094,15.183298110961914,48.61541748046875,15.707489967346191,604.6593017578125,44.483428955078125,52.209999084472656,42.29999923706055,12.807907104492188,146.49000549316406,23.34000015258789,389.95001220703125,195.8286895751953,450.1944580078125,127.11058044433594,184.35000610351562,39.3607292175293,49.119998931884766,171.67999267578125,106.89449310302734,329.8544616699219,33.2119140625,179.98971557617188,21.80507469177246,42.54999923706055,96.38304138183594,54.52000045776367,247.80999755859375,13.350000381469727,493.0,216.86691284179688,204.5217742919922,155.8000030517578,7.730000019073486,54.29409408569336,63.05482482910156
2025-06-09,202.11672973632812,15.033364295959473,48.97186279296875,15.522809982299805,591.611083984375,44.941036224365234,50.970001220703125,41.2599983215332,12.827795028686523,144.25999450683594,23.229999542236328,377.1600036621094,191.3008575439453,443.8023986816406,126.30494689941406,185.75,39.5866584777832,47.619998931884766,173.32000732421875,107.8842544555664,323.2240905761719,33.40636444091797,181.72874450683594,21.373680114746094,41.650001525878906,95.83052825927734,55.15999984741211,246.83999633789062,13.350000381469727,507.0,220.67507934570312,199.99888610839844,157.1699981689453,7.650000095367432,53.91441345214844,63.61710739135742
